Name,Street,Municipality,Categories,Time Zone,Phone,Phones,Owner,Email,Social Medias,Review Count,Average Rating,Google Maps URL,Latitude,Longitude,Website,Domain,Image,Place Id,Sport
AIX AUC Tennis Padel,"Gymnase du Val de l'Arc, Complexe Sportif de",33 Av. des Infirmeries,"Tennis club, Padel club",Europe/Paris,+33 6 41 52 91 60,"06 41 52 91 60, +33 6 41 52 91 60",AIX AUC Tennis Padel (Owner),,,258,4.1,https://www.google.com/maps?cid=6927564909382830155,43.5109793,5.466856,https://tenup.fft.fr/club/62130600?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/p/AF1QipM20qJhJAxKLMdhxZPwGpDXohrZktV7ByjFzkB4,ChIJXbMJdfGNyRIRS4g5zpSnI2A,padel
Tennis Padel Club Gémenos,161 Chem. du Puits,13420 Gémenos,Tennis club,Europe/Paris,+33 4 42 32 84 90,"04 42 32 84 90, +33 4 42 32 84 90",Tennis Padel Club Gémenos (Owner),,,66,4.6,https://www.google.com/maps?cid=6840203200331235860,43.2863453,5.6176913,http://www.club.fft.fr/tcgemenos/62130274_a/cms/index_public.php?us_action=show_note_site&login_off=1&ui_id_site=1,club.fft.fr,https://lh3.googleusercontent.com/p/AF1QipMsGlP-9MADBXJOqWxxVPIyQDEPUoClqXbxgkvb,ChIJsXOcLI-jyRIRFMI725FI7V4,padel
"US CAGNES - TENNIS, PADEL et MULTI-SPORTS",Av. Colonel Jeanpierre,06800 Cagnes-sur-Mer,"Tennis club, Padel club",Europe/Paris,+33 6 32 28 89 22,"06 32 28 89 22, +33 6 32 28 89 22","US CAGNES - TENNIS, PADEL et MULTI-SPORTS (Owner)","cimiez@sports-ultra.com,fabron@sports-ultra.com,cagnes@sports-ultra.com,capesterel@sports-ultra.com,auron@sports-ultra.com,valberg@sports-ultra.com,isola@sports-ultra.com","facebook: https://www.facebook.com/ultra.club.multisports
instagram: https://www.instagram.com/ultra.club.multisports
linkedin: https://www.linkedin.com/company/ultra-france",21,4.6,https://www.google.com/maps?cid=12446338161980273288,43.6709767,7.1512807,http://www.sports-ultra.com/,sports-ultra.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6p_aVqXqbD6ijVH2FbIDfn2WdIlAsfXA0WlperOK5FJI7pguzl4muOLWZzniP92aAfCoR6gIXYBs1vLSr-iFdwytb-qS3NsPATVVWg9JXi11IAl7A4VIwO57bKtqOc5a5Jnk,ChIJPTlOzkLTzRIRiPI4Y51Guqw,padel
Padel Carnoules La Tuilière,1956 route de Toulon,RD 97,Padel court,Europe/Paris,+33 4 94 48 32 39,"04 94 48 32 39, +33 4 94 48 32 39",Padel Carnoules La Tuilière (Owner),,,2,4.5,https://www.google.com/maps?cid=15652467846117286979,43.2959249,6.152447,,,https://lh3.googleusercontent.com/p/AF1QipPfpg0NGAxIrLTH7sK7zDregdnFsi6X9GoZKfwY,ChIJj2L7kqc5yRIRQ2QLYpO8ONk,padel
Tennis Club des Combes | Tennis & Padel,768 Bd du Mercantour,06200 Nice,"Tennis club, Sports",Europe/Paris,+33 4 97 10 23 30,"04 97 10 23 30, +33 4 97 10 23 30",Tennis Club des Combes | Tennis & Padel (Owner),,,353,4.3,https://www.google.com/maps?cid=10466192157600543648,43.7451388,7.1875632,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzO_YUIoEvM95Nn9EFWHs7DrbJOZ5LTqlW67PxZtqqrnKOWK7kRQOu5_etgMKAH73STZRF0GkcGY--BUDT597kR50lmV1PFotMQPmyMGWpag9nrM2oW68jUe3kzatG_iUL30HA,ChIJI5-KbHDOzRIRoHPCqFBiP5E,padel
Galactic Padel,1250 Rte de la Pointe RD 2204,06390 Contes,Padel court,Europe/Paris,+33 6 21 77 05 19,"06 21 77 05 19, +33 6 21 77 05 19",Galactic Padel (Owner),,instagram: https://www.instagram.com/galactic_padel,46,4.8,https://www.google.com/maps?cid=10881370181686793860,43.7894453,7.3485133,https://galactic-padel.com/,galactic-padel.com,https://lh3.googleusercontent.com/p/AF1QipO6aD8Jw3vMlsZmymBpNDjjhcT6ayPZ3PP-I3hj,ChIJ_doj5OLHzRIRhBb4PIdkApc,padel
UrbanPadel Villeneuve Loubet,2284 Rte de Grasse,06270 Villeneuve-Loubet,Padel court,Europe/Paris,+33 4 22 17 00 10,"04 22 17 00 10, +33 4 22 17 00 10",UrbanPadel Villeneuve Loubet (Owner),,,17,3.5,https://www.google.com/maps?cid=11175548338976424258,43.6615703,7.0952666,,,https://lh3.googleusercontent.com/p/AF1QipPZ8CfE6367WwCG7nW3D3dEb_dloKvw10VsSiW_,ChIJ8UdU-jTTzRIRQoHl8gCGF5s,padel
Tennis Club Les Acacias | Tennis & Padel & Calcetto & Piscine & Snack,2500 Chem. du Vallon des Vaux,06800 Cagnes-sur-Mer,"Tennis club, Padel court, Snack bar, Soccer field, Sports club, Tennis court",Europe/Paris,+33 4 93 07 77 84,"04 93 07 77 84, +33 4 93 07 77 84",Tennis Club Les Acacias | Tennis & Padel & Calcetto & Piscine & Snack (Owner),tennisclubacacias@sfr.fr,"facebook: https://www.facebook.com/tennisclub.lesacacias
instagram: https://www.instagram.com/tc_acacias",150,4.7,https://www.google.com/maps?cid=16046400674831689841,43.6951253,7.1585522,https://les-acacias-tennis-padel-foot.com/,les-acacias-tennis-padel-foot.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGLwTz27ofo0-ZGZMLhl9_dGPzLKUHYoDMUXH5O66360mwwoHUle6nEDfM2NkiYtM-w-EII2zafmolPCKrtPlq2qWIsZBoMlVXduD7mvtHVH3cx7UglDzHd1mINLSDkmjaLVYG,ChIJ_Xt2otzTzRIRcWjucmVEsN4,padel
Le Logge Padel Hub,"Via Cornelio Tacito, 13b",18039 Ventimiglia IM,Padel club,Europe/Rome,+39 351 449 9699,"351 449 9699, +39 351 449 9699",Le Logge Padel Hub (Owner),,,1,5,https://www.google.com/maps?cid=8638209844063800098,43.7863366,7.6204485,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_JJrSh6nRa264gxXVALi_g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=102.2647&pitch=0&thumbfov=100,ChIJsW2ZIADzzRIRIou0AhYW4Xc,padel
Nice Lawn Tennis Club | Tennis & Padel,5 Av. Suzanne Lenglen,06000 Nice,"Tennis court, Tennis, Tennis club, Tennis instructor",Europe/Paris,+33 4 92 15 58 00,"04 92 15 58 00, +33 4 92 15 58 00",Nice Lawn Tennis Club | Tennis & Padel (Owner),contact@niceltc.com,"facebook: https://www.facebook.com/nice.lawn.tennis.club
instagram: https://www.instagram.com/lelenglen_byltc,https://www.instagram.com/niceltc",90,4.4,https://www.google.com/maps?cid=2201429463963458586,43.7046361,7.251908,https://niceltc.com/,niceltc.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxABcd97F-8YsAWWwB7j9dhF4eKGpRpUWPqu_HOAviEt-09uFWq9wJVaRX-IVXnMLWZUsVy9Fm1P9P0Kye62JjYFtZBnoDgmSFAtea8mUQTerXFk2jbUvTqXujT6kiIAKAqDYw,ChIJ3SngnBrQzRIRGtyeDW8MjR4,padel
Padel Galis,15 Rue Maccarani,06000 Nice,Padel court,Europe/Paris,+33 6 17 08 21 99,"06 17 08 21 99, +33 6 17 08 21 99",Padel Galis (Owner),,,,,https://www.google.com/maps?cid=18210189466659806162,43.6984259,7.2642548,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=37lzXuerx_fMrNXrwGtlog&cb_client=search.gws-prod.gps&w=80&h=92&yaw=176.66989&pitch=0&thumbfov=100,ChIJvXRNlCDRzRIR0lvRlNaWt_w,padel
TC DE BANDOL,Av. Albert 1 Er,83150 Bandol,"Tennis club, Sports club",Europe/Paris,+33 4 94 29 55 40,"04 94 29 55 40, +33 4 94 29 55 40",TC DE BANDOL (Owner),,,120,4.7,https://www.google.com/maps?cid=13120702494436792068,43.1350212,5.7401361,https://tenup.fft.fr/club/62830032?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSym_ub4zR3s4ep-xeg-_5TYuSOFUWrohiFQ7JdokqAyUBkQ4In7RjKRyBNPsJXiuF3y3Q8MpZ_g-tQgxkzNkLBZtlDoUdl4z3H3hSnd_ncHDPAHV0Tb1vO70HndzXE7hR1WQSYtjg,ChIJm9AxB1sHyRIRBJd8-GYZFrY,padel
"Tc Roquebrune Les Issambres | Tennis, Padel Pickleball",3345 RD 559,83380 Roquebrune-sur-Argens,"Tennis club, Padel court, Pickleball court, Sports school",Europe/Paris,+33 4 94 81 17 44,"04 94 81 17 44, +33 4 94 81 17 44","Tc Roquebrune Les Issambres | Tennis, Padel Pickleball (Owner)",marketing@macaan-communication.com,,30,4.2,https://www.google.com/maps?cid=11840865777158800475,43.345317,6.703037,http://www.tennis-roquebrune.fr/,tennis-roquebrune.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAaPdwTlhCLLcSiiUoDxeLUuBdeCweiadpzhhUJpnbMKsYjDDZ_h0l7VGyErtwDstVD9UbOF0KfW82LbJTm9DVd8sGk3R2-9Uzk2N817_2D6UpIRtlZzcuEJHoEVKw8JcgI6Ej,ChIJT-VqSGe-zhIRW0ShULA0U6Q,padel
Vamos Padel Sospel,41 Impasse des Fusillés de l’Albarea,06380 Sospel,Sports club,Europe/Paris,,,Vamos Padel Sospel (Owner),,,4,5,https://www.google.com/maps?cid=14470571343245961991,43.875951,7.4549205,https://www.facebook.com/profile.php?id=100090625068197,facebook.com,https://lh3.googleusercontent.com/p/AF1QipMf-3LAD3d4nrJe-BaiBlfFx0G-WH51WFnUZmhT,ChIJ84NTSyKVzRIRB2sf4_fL0cg,padel
Tennis Club de Grasse,190 Rte de Cannes,06130 Grasse,"Tennis club, Tennis court, Tennis instructor",Europe/Paris,+33 6 62 59 23 70,"06 62 59 23 70, +33 6 62 59 23 70",Tennis Club de Grasse (Owner),contact@allin-grasse.com,"facebook: https://www.facebook.com/allingrasse
instagram: https://www.instagram.com/allingrasse",173,4.4,https://www.google.com/maps?cid=7489478352579846326,43.6319704,6.9522272,https://www.allin-grasse.com/,allin-grasse.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTtbuCRuwKv9aeYpakSyL9qghJcZxhMfAM8AGwCTEy1MWvbOm3GNQUFZsiPaouptbOrYOOuYO2_yIKGGVZvs8oFr5HhjQFLC6Lgjxi-dlUNjR03AMri7yqKqub596ILZnWmuNX,ChIJYUeCH-QozBIRtuB_duH472c,padel
Tennis Padel Club de Nans Les Pins,100 Allée Paulette et Jacques Tomei Route de,Chem. de Pierrefeu,"Tennis club, Padel court",Europe/Paris,+33 7 68 12 25 79,"07 68 12 25 79, +33 7 68 12 25 79",Tennis Padel Club de Nans Les Pins (Owner),tennis.nans@wanadoo.fr,,19,4.6,https://www.google.com/maps?cid=8231928990901757333,43.3743221,5.7776007,http://www.tennisclubdenans.fr/,tennisclubdenans.fr,https://lh3.googleusercontent.com/p/AF1QipPqPdemNs1RmrvJpW3M2H0KB1EvpczzD4Sc1pp8,ChIJxSRqY1F0yRIRlWXwds2vPXI,padel
Caucasia Sports France,753 Av. de la Colle,06270 Villeneuve-Loubet,Padel court,Europe/Paris,+33 6 56 77 71 15,"06 56 77 71 15, +33 6 56 77 71 15",Caucasia Sports France (Owner),,,1,5,https://www.google.com/maps?cid=11657452498509063143,43.6682153,7.1187774,,,https://lh3.googleusercontent.com/p/AF1QipOFQyAXrfNw2KcnZF_9HnxWGMWSdImAKGo5cV_b,ChIJjdUHWsLTzRIR52Ofl0iXx6E,padel
Padel Evasion,244 Av. de la Croix du S,83110 Sanary-sur-Mer,Padel club,Europe/Paris,+33 6 61 67 44 42,"06 61 67 44 42, +33 6 61 67 44 42",Padel Evasion (Owner),,,,,https://www.google.com/maps?cid=11350165470311815718,43.1300871,5.799603,https://www.instagram.com/stories/padel_evasion_/3444990488464787347?utm_source=ig_story_item_share&igsh=M2RjYzZ2YTd5M2o4,instagram.com,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=35_wTQ-Cjro7slyglGn5aA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=340.6866&pitch=0&thumbfov=100,ChIJKeXFYscHyRIRJhrXB1zjg50,padel
Tennis Padel Club La Seyne sur Mer,903 Chem. d'Artaud à Pignet,83500 La Seyne-sur-Mer,Tennis club,Europe/Paris,+33 4 22 91 60 03,"04 22 91 60 03, +33 4 22 91 60 03",Tennis Padel Club La Seyne sur Mer (Owner),tpclaseynesurmer@gmail.com,"facebook: https://www.facebook.com/p/Tennis-Padel-Club-La-Seyne-sur-Mer-61564274653947
instagram: https://www.instagram.com/tpclaseynesurmer",51,5,https://www.google.com/maps?cid=5970287829726972386,43.0953787,5.8573341,https://tennispadelclublaseynesurmer.fr/,tennispadelclublaseynesurmer.fr,https://lh3.googleusercontent.com/p/AF1QipPUooOdyZ9ae_GAxDWuF7_wSu3aLnQGLd7-ncLb,ChIJyXhSvLAPEgAR4sm2MSa52lI,padel
Centre de ligue padel,1195 Chem. des Cruyes,13090 Aix-en-Provence,Sports club,Europe/Paris,,,Centre de ligue padel (Owner),,,,,https://www.google.com/maps?cid=7003982434183976478,43.568429,5.4163017,,,,ChIJBXliEQCNyRIRHpacSuokM2E,padel
Country Club de Barbossi | Tennis & Padel,23 Chem. de Maure-Vieil,06210 Mandelieu-la-Napoule,"Sports club, Bicycle rental service, Fitness center, Padel club, Pool hall, Tennis club",Europe/Paris,+33 9 82 34 43 45,"09 82 34 43 45, +33 9 82 34 43 45",Country Club de Barbossi | Tennis & Padel (Owner),countryclubdebarbossi@orange.fr,"facebook: https://www.facebook.com/countryclubbarbossi
instagram: https://www.instagram.com/countryclubbarbossi
youtube: https://www.youtube.com/channel/UCfMaY3GG6ZSCJDxXADv8Jew",72,4.1,https://www.google.com/maps?cid=1257441267655086436,43.5249068,6.9151195,http://www.countryclubdebarbossi.com/,countryclubdebarbossi.com,https://lh3.googleusercontent.com/p/AF1QipON3eqWJc3eTQaO4gXAgniULPpmRjosM35kDpRX,ChIJC-VnWmWdzhIRZJF_tCtUcxE,padel
Floréal Azur Padel & Tennis Coach,,,"Personal trainer, Coaching service, Service establishment, Padel club, Tennis club, Tennis instructor",Europe/Paris,+33 6 76 83 06 19,"06 76 83 06 19, +33 6 76 83 06 19",Floréal Azur Padel & Tennis Coach (Owner),support@webador.fr,"facebook: https://facebook.com/Floreal
instagram: https://instagram.com/floreal_coach_tennispadel",21,5,https://www.google.com/maps?cid=14097762086703320138,43.3954555,6.294747,https://www.floreal-azur-padel-tenniscoach.fr/,floreal-azur-padel-tenniscoach.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxp5uUESr6u4hxiAvr2JlLJPBnSwLXLAokVa6X-wqCKxItwdmN5IjySVygK2iRw9nmHImEFv-RsnbrOz31Jviv0337Egk4fbEKaj5Ucd2s3U8w_tyXRaZzShRXqyQg7ORcWO9V1YYzPdNll,ChIJKw9a8BqoSaARSszruexPpcM,padel
BLUE PADEL,58 Chem. Alphonse Daudet,06800 Cagnes-sur-Mer,Sports club,Europe/Paris,+33 6 80 02 24 63,"06 80 02 24 63, +33 6 80 02 24 63",BLUE PADEL (Owner),,,,,https://www.google.com/maps?cid=5800339659349925541,43.6715647,7.1744089,https://bluepadel06.com/contacts,bluepadel06.com,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nvcagoakJyDg0XR0EbnZ_g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=217.9959&pitch=0&thumbfov=100,ChIJ6QTJWtfTzRIRpZ4pTDDyflA,padel
Parking padel,856 Chem. des Terriers,06600 Antibes,Padel court,Europe/Paris,,,Parking padel (Owner),,,,,https://www.google.com/maps?cid=1393458130645873297,43.5958409,7.0826928,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wpvJ6IlGzXU_3NVv5VYndQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=7.2271953&pitch=0&thumbfov=100,ChIJn9XSVwArzBIRkfKGdsmOVhM,padel
Tennis & Padel La Romarine – Ramatuelle | Saint-Tropez,57 impasse des Marres,Rte des Plages,Sports club,Europe/Paris,+33 060726475,"060726475, +33 060726475",Tennis & Padel La Romarine – Ramatuelle | Saint-Tropez (Owner),,,30,5,https://www.google.com/maps?cid=776697962771096564,43.25414,6.636161,,,https://lh3.googleusercontent.com/p/AF1QipP_vD-D0qOqK1ae8OyT_AxMvBZ0V2Tpo2wBNU8A,ChIJrQC0oQvHzhIR9KO9mK5ixwo,padel
"NICE SMASH 06. Magasin de Padel, Tennis, Squash à Nice",Smash 06 à 100 mètres du Parking les Bosquets,200 Av. de la Californie,"Padel court, Hobby store, Tennis store, Shoe store, Sportswear store",Europe/Paris,+33 4 93 86 95 04,"04 93 86 95 04, +33 4 93 86 95 04","NICE SMASH 06. Magasin de Padel, Tennis, Squash à Nice (Owner)",nicesmah06@gmail.com,"facebook: https://www.facebook.com/nicesmash06
instagram: https://www.instagram.com/nicesmash06",74,4.7,https://www.google.com/maps?cid=555432068177833644,43.6820589,7.231574,https://nice-smash.fr/,nice-smash.fr,https://lh3.googleusercontent.com/p/AF1QipNjoDZREOeKVEgVcLw-3ruGZ9UA-syau2XEQtCd,ChIJu2zZyVDQzRIRrK6Z8IVKtQc,padel
E-Padel,Av. du Col-de l'Ange,13420 Gémenos,Sports club,Europe/Paris,,,E-Padel (Owner),,,,,https://www.google.com/maps?cid=4704688682811913041,43.2792989,5.6239341,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kPlDJQsAGtdWf6kouWsx2w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=317.83078&pitch=0&thumbfov=100,ChIJxR_GjiWjyRIRUfPNNW5pSkE,padel
Nice Mercantour Sports Complex,114 Bd du Mercantour,06200 Nice,Sports complex,Europe/Paris,+33 4 92 29 46 56,"04 92 29 46 56, +33 4 92 29 46 56",Nice Mercantour Sports Complex (Owner),,,163,4.3,https://www.google.com/maps?cid=14691737549084873520,43.6717787,7.2031418,https://www.nice.fr/fr/sports/complexe-nice-mercantour,nice.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzX-W9E7xbC7hkSbKhXbIVCm49CLhxvPd1nC7zwxJlRC6caaHDOmIMhWBPKapPT3Uz4JELY_aSw5fRAiR6EvPZcQTROSU1HLbHvebWp3GhVx-aSvq5abK9eb7Z_bxej82nRCX9IOg,ChIJg4rVTAzRzRIRMNN48nWJ48s,padel
TC ANTIBES JUAN LES PINS,330 Av. Jules Grec,06600 Antibes,"Tennis club, Sports club",Europe/Paris,+33 4 93 65 80 95,"04 93 65 80 95, +33 4 93 65 80 95",TC ANTIBES JUAN LES PINS (Owner),,,22,4.6,https://www.google.com/maps?cid=6842960968951662474,43.5907783,7.1178584,https://tenup.fft.fr/club/62060016?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1iWUQ8eueA33Uz9NLO6ApUo0gBkMytiIX1KJE_4XhYEckhZKQ55DpUxSXKwZPZHBRuiK6palvK26O0Uj2TV6WTtzGWIW029BA4zLvdyY6biFXjUvNyTYv3LU_lT5_myOi4ZYXOA,ChIJoxA0XGHVzRIRigc65r4U914,padel
TCT,48 Av. des Frères Lumière,83160 La Valette-du-Var,Tennis club,Europe/Paris,+33 4 94 14 12 90,"04 94 14 12 90, +33 4 94 14 12 90",TCT (Owner),,,46,4.5,https://www.google.com/maps?cid=12219748101009761711,43.1341896,5.9996628,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyQD56fFvuCAAk3W1uCZiEujDKOAnlxrGqqd0e_64lOTDcUrxdumo9-g5rTNBJhEc5MMnJ_78RBjSLYcbin6rx-co94D6MuegjbGSPBrjWIKM3CXFlk8UDfwUmj0egpbDlwBdAhiA,ChIJaz2VW54ZyRIRr-VwpSdElak,padel
"Dynamic'Sports : Padel, Tennis, Trail, Salle Fitness, Beach-Park, Marche Nordique",All. Thierry Combe,06690 Tourrette-Levens,"Sports complex, Beach club, Fitness center, Outdoor activity organiser, Padel court, Recreation center, Tennis club",Europe/Paris,+33 4 22 13 84 27,"04 22 13 84 27, +33 4 22 13 84 27","Dynamic'Sports : Padel, Tennis, Trail, Salle Fitness, Beach-Park, Marche Nordique (Owner)",info@dynamicsports.fr,"facebook: https://www.facebook.com/people/DynamicSports-Tourrette-Levens/100093099217030
instagram: https://www.instagram.com/dynamicsports06
linkedin: https://www.linkedin.com/company/wix-com",102,5,https://www.google.com/maps?cid=4008355503176267665,43.8006734,7.2712428,https://www.dynamicsports.fr/,dynamicsports.fr,https://lh3.googleusercontent.com/p/AF1QipME7GZGw3br4YyQOE-TJ-iBhKH-MjW4lG2kxWCE,ChIJ_dEsSKPFzRIRkbdNzBeKoDc,padel
Saint-Raphaël Country Club,940 Bd de l'Aspé,83700 Saint-Raphaël,"Tennis club, Padel court, Pickleball court, Squash club",Europe/Paris,+33 4 94 95 43 00,"04 94 95 43 00, +33 4 94 95 43 00",Saint-Raphaël Country Club (Owner),srcc@orange.fr,instagram: https://www.instagram.com/invites,43,4.6,https://www.google.com/maps?cid=10425433138953567328,43.4296702,6.8031349,https://www.country-club.fr/,country-club.fr,https://lh3.googleusercontent.com/p/AF1QipNNXP_NP2ASw69AWOZ2mC1fm7tW_AUneK4T5b2c,ChIJE2oq8ouXzhIRYLzpHDSUrpA,padel
TC CARROS,37 Route Rte de la ZA de la Grave,06510 Carros,"Tennis club, Sports club",Europe/Paris,+33 7 49 46 09 29,"07 49 46 09 29, +33 7 49 46 09 29",TC CARROS (Owner),,,55,4.5,https://www.google.com/maps?cid=4848861737754383761,43.766769,7.201972,https://tenup.fft.fr/club/62060305?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy9P0eHcDcJi8dZ-0Nyp0r5QzspUywKPRXhDZLFa8E_dVCGcZrJVKNplehDpeXXYRrnS0knShyTsLoBDLPkKB1zy4a_u3Z_YyXU1If6eu3gszSz04ObkvCzIXTVHnBCOUD7X1WX,ChIJxbn6ZFvPzRIRkVXVYw-eSkM,padel
Tennis Club Lavandou,Avenue Vincent Auriol,83980 Le Lavandou,"Tennis club, Padel club",Europe/Paris,+33 4 94 64 83 79,"04 94 64 83 79, +33 4 94 64 83 79",Tennis Club Lavandou (Owner),,,68,4.3,https://www.google.com/maps?cid=1137244645689291844,43.1334472,6.3633732,https://fr-fr.facebook.com/Tennis.club.du.Lavandou,fr-fr.facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwjWCnLaHVUQZO0P0bb4yeL1m7YFZkqvIPdD7xhlKwxYBWxSqnjHLs80ENBa0VW8h5AgqjL9ckhBHJA_ZE3iPy2tE6tL479g8Ju829DWGYWiL3TpS1eC8aL1WjmJGpNWaMhbhYjpA,ChIJKTDI758tyRIRRHQG2fpNyA8,padel
la Ciotat Tennis Club,Av. Léo Lagrange,13600 La Ciotat,"Tennis club, Sports bar, Tennis court, Tennis instructor",Europe/Paris,+33 7 64 43 63 88,"07 64 43 63 88, +33 7 64 43 63 88",la Ciotat Tennis Club (Owner),,,48,4,https://www.google.com/maps?cid=12073025947709847828,43.1961944,5.6314634,http://www.club.fft.fr/laciotat.tc,club.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzeoNwYBlaY4JEpOp9Z61vDDWX5wXK9wo4FXhOZqb_swpBjYvlTa2kCffsENjHAIWHWFPT-8M2BiIxhaxnILphYj3Vjgb9EJa8PuZxSBmhAAush6_-x3cSwfJE_6mjNsODUnZ5,ChIJQ1iotfalyRIRFLlRQSIBjKc,padel
Tennis Padel Club Saint-Joseph - AGASC - Saint-Laurent-du-Var,Espl. Edmond Jouhaud,06700 Saint-Laurent-du-Var,Tennis club,Europe/Paris,+33 4 93 31 70 89,"04 93 31 70 89, +33 4 93 31 70 89",Tennis Padel Club Saint-Joseph - AGASC - Saint-Laurent-du-Var (Owner),,,,,https://www.google.com/maps?cid=8280647437861015696,43.679659,7.1900361,https://www.facebook.com/share/14QNf9xDUvc/,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyWMhQXxMaP1bskpO5x3O846epaMRr-5hukEV3D3I07sMHdmSgK0FZ_1_hy_FLLlFFYdttDEODMgDeTFj8Fk_lXo_fh1qYzHaqAMN-ZDeQ2UrfmmBaaVew-bDL1yk3oVBXm83tCkh1kHQEY,ChIJ2dkjbQDRzRIRkFD00_jE6nI,padel
Gsem Tennis,Chem. du Cimetière de l'Est,06300 Nice,"Tennis club, Padel club",Europe/Paris,+33 7 66 68 34 10,"07 66 68 34 10, +33 7 66 68 34 10",Gsem Tennis (Owner),club@gsemtennis.fr,"facebook: https://www.facebook.com/gsemtennis
instagram: https://www.instagram.com/tennisgsem",55,4.2,https://www.google.com/maps?cid=13494757004059964690,43.7450337,7.303041,http://www.gsemtennis.fr/,gsemtennis.fr,https://lh3.googleusercontent.com/p/AF1QipMVh9tKFYCUnttH-ftvYMUaEgdfWTILF0d8EZXI,ChIJA2DWtAbFzRIREnU1Nf8BR7s,padel
Tennis Pádel Galliéni Fréjus,800 Av. du Général d'armée Jean Calliès,83600 Fréjus,Tennis club,Europe/Paris,+33 4 94 53 24 22,"04 94 53 24 22, +33 4 94 53 24 22",Tennis Pádel Galliéni Fréjus (Owner),tennis@amslfrejus.com,"facebook: https://www.facebook.com/Amslfrejus1974,https://facebook.com/TennisClubGallieniFrejus,https://www.facebook.com/TennisClubGallieniFrejus",122,4.4,https://www.google.com/maps?cid=13025081522617119976,43.4446202,6.751193,https://www.amslfrejus.com/tennis/,amslfrejus.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznPwH2YvUMc34yS1bjZkT6i8Lgoqz3iZp3X-GrNLWJ7vIt7VHFlgni9C1ZrEahGyOPxwkIRCFkQiOdk1YfoiqucyzZaPpTyZrmXVIFXMw0-p1fjpO3hp0zvwjbPt9rse6o3Qho,ChIJKaFXIgeYzhIR6PQYjqJiwrQ,padel
"Trets Tennis Club (tennis, padel et pickleball)",Av. Marius Joly,13530 Trets,Tennis club,Europe/Paris,+33 7 81 52 07 82,"07 81 52 07 82, +33 7 81 52 07 82","Trets Tennis Club (tennis, padel et pickleball) (Owner)",,,23,4.5,https://www.google.com/maps?cid=10390804655963221063,43.4452428,5.6993677,https://club.fft.fr/tretstennisclub/62130559_a/cms/index_public.php?PHPSESSID=c9411598110f3b534d725f7e6835ed74&us_action=show_note_rubrique&ui_id_site=1&ui_id_rubrique=10203,club.fft.fr,https://lh3.googleusercontent.com/p/AF1QipNAcxek3guyv4UirOKlOVOOuAXq98tqcl7pCfHz,ChIJicaTrcydyRIRR6wpIciNM5A,padel
